Row,Col
0,0
0,1024
0,1424
1,1
1,1025
1,1425
2,2
2,1026
2,1426
3,3
3,1027
3,1427
4,4
4,1028
4,1428
5,5
5,1029
5,1429
6,6
6,1030
6,1430
7,7
7,1031
7,1431
8,8
8,1032
8,1432
9,9
9,1033
9,1433
10,10
10,1034
10,1434
11,11
11,1035
11,1435
12,12
12,1036
12,1436
13,13
13,1037
13,1437
14,14
14,1038
14,1438
15,15
15,1039
15,1439
16,16
16,1040
16,1440
17,17
17,1041
17,1441
18,18
18,1042
18,1442
19,19
19,1043
19,1443
20,20
20,1044
20,1444
21,21
21,1045
21,1445
22,22
22,1046
22,1446
23,23
23,1047
23,1447
24,24
24,1048
24,1448
25,25
25,1049
25,1449
26,26
26,1050
26,1450
27,27
27,1051
27,1451
28,28
28,1052
28,1452
29,29
29,1053
29,1453
30,30
30,1054
30,1454
31,31
31,1055
31,1455
32,32
32,1056
32,1456
33,33
33,1057
33,1457
34,34
34,1058
34,1458
35,35
35,1059
35,1459
36,36
36,1060
36,1460
37,37
37,1061
37,1461
38,38
38,1062
38,1462
39,39
39,1063
39,1463
40,40
40,1064
40,1464
41,41
41,1065
41,1465
42,42
42,1066
42,1466
43,43
43,1067
43,1467
44,44
44,1068
44,1468
45,45
45,1069
45,1469
46,46
46,1070
46,1470
47,47
47,1071
47,1471
48,48
48,1072
48,1472
49,49
49,1073
49,1473
50,50
50,1074
50,1474
51,51
51,1075
51,1475
52,52
52,1076
52,1476
53,53
53,1077
53,1477
54,54
54,1078
54,1478
55,55
55,1079
55,1479
56,56
56,1080
56,1480
57,57
57,1081
57,1481
58,58
58,1082
58,1482
59,59
59,1083
59,1483
60,60
60,1084
60,1484
61,61
61,1085
61,1485
62,62
62,1086
62,1486
63,63
63,1087
63,1487
64,64
64,1088
64,1488
65,65
65,1089
65,1489
66,66
66,1090
66,1490
67,67
67,1091
67,1491
68,68
68,1092
68,1492
69,69
69,1093
69,1493
70,70
70,1094
70,1494
71,71
71,1095
71,1495
72,72
72,1096
72,1496
73,73
73,1097
73,1497
74,74
74,1098
74,1498
75,75
75,1099
75,1499
76,76
76,1100
76,1500
77,77
77,1101
77,1501
78,78
78,1102
78,1502
79,79
79,1103
79,1503
80,80
80,1104
80,1504
81,81
81,1105
81,1505
82,82
82,1106
82,1506
83,83
83,1107
83,1507
84,84
84,1108
84,1508
85,85
85,1109
85,1509
86,86
86,1110
86,1510
87,87
87,1111
87,1511
88,88
88,1112
88,1512
89,89
89,1113
89,1513
90,90
90,1114
90,1514
91,91
91,1115
91,1515
92,92
92,1116
92,1516
93,93
93,1117
93,1517
94,94
94,1118
94,1518
95,95
95,1119
95,1519
96,96
96,1120
96,1520
97,97
97,1121
97,1521
98,98
98,1122
98,1522
99,99
99,1123
99,1523
100,100
100,1124
100,1524
101,101
101,1125
101,1525
102,102
102,1126
102,1526
103,103
103,1127
103,1527
104,104
104,1128
104,1528
105,105
105,1129
105,1529
106,106
106,1130
106,1530
107,107
107,1131
107,1531
108,108
108,1132
108,1532
109,109
109,1133
109,1533
110,110
110,1134
110,1534
111,111
111,1135
111,1535
112,112
112,1136
112,1408
113,113
113,1137
113,1409
114,114
114,1138
114,1410
115,115
115,1139
115,1411
116,116
116,1140
116,1412
117,117
117,1141
117,1413
118,118
118,1142
118,1414
119,119
119,1143
119,1415
120,120
120,1144
120,1416
121,121
121,1145
121,1417
122,122
122,1146
122,1418
123,123
123,1147
123,1419
124,124
124,1148
124,1420
125,125
125,1149
125,1421
126,126
126,1150
126,1422
127,127
127,1151
127,1423
128,128
128,1024
128,1152
129,129
129,1025
129,1153
130,130
130,1026
130,1154
131,131
131,1027
131,1155
132,132
132,1028
132,1156
133,133
133,1029
133,1157
134,134
134,1030
134,1158
135,135
135,1031
135,1159
136,136
136,1032
136,1160
137,137
137,1033
137,1161
138,138
138,1034
138,1162
139,139
139,1035
139,1163
140,140
140,1036
140,1164
141,141
141,1037
141,1165
142,142
142,1038
142,1166
143,143
143,1039
143,1167
144,144
144,1040
144,1168
