Row,Col
512,0
512,512
513,1
513,513
514,2
514,514
515,3
515,515
516,4
516,516
517,5
517,517
518,6
518,518
519,7
519,519
520,8
520,520
521,9
521,521
522,10
522,522
523,11
523,523
524,12
524,524
525,13
525,525
526,14
526,526
527,15
527,527
528,16
528,528
529,17
529,529
530,18
530,530
531,19
531,531
532,20
532,532
533,21
533,533
534,22
534,534
535,23
535,535
536,24
536,536
537,25
537,537
538,26
538,538
539,27
539,539
540,28
540,540
541,29
541,541
542,30
542,542
543,31
543,543
544,32
544,544
545,33
545,545
546,34
546,546
547,35
547,547
548,36
548,548
549,37
549,549
550,38
550,550
551,39
551,551
552,40
552,552
553,41
553,553
554,42
554,554
555,43
555,555
556,44
556,556
557,45
557,557
558,46
558,558
559,47
559,559
560,48
560,560
561,49
561,561
562,50
562,562
563,51
563,563
564,52
564,564
565,53
565,565
566,54
566,566
567,55
567,567
568,56
568,568
569,57
569,569
570,58
570,570
571,59
571,571
572,60
572,572
573,61
573,573
574,62
574,574
575,63
575,575
576,64
576,576
577,65
577,577
578,66
578,578
579,67
579,579
580,68
580,580
581,69
581,581
582,70
582,582
583,71
583,583
584,72
584,584
585,73
585,585
586,74
586,586
587,75
587,587
588,76
588,588
589,77
589,589
590,78
590,590
591,79
591,591
592,80
592,592
593,81
593,593
594,82
594,594
595,83
595,595
596,84
596,596
597,85
597,597
598,86
598,598
599,87
599,599
600,88
600,600
601,89
601,601
602,90
602,602
603,91
603,603
604,92
604,604
605,93
605,605
606,94
606,606
607,95
607,607
608,96
608,608
609,97
609,609
610,98
610,610
611,99
611,611
612,100
612,612
613,101
613,613
614,102
614,614
615,103
615,615
616,104
616,616
617,105
617,617
618,106
618,618
619,107
619,619
620,108
620,620
621,109
621,621
622,110
622,622
623,111
623,623
624,112
624,624
625,113
625,625
626,114
626,626
627,115
627,627
628,116
628,628
629,117
629,629
630,118
630,630
631,119
631,631
632,120
632,632
633,121
633,633
634,122
634,634
635,123
635,635
636,124
636,636
637,125
637,637
638,126
638,638
639,127
639,639
640,128
640,640
641,129
641,641
642,130
642,642
643,131
643,643
644,132
644,644
645,133
645,645
646,134
646,646
647,135
647,647
648,136
648,648
649,137
649,649
650,138
650,650
651,139
651,651
652,140
652,652
653,141
653,653
654,142
654,654
655,143
655,655
656,144
656,656
657,145
657,657
658,146
658,658
659,147
659,659
660,148
660,660
661,149
661,661
662,150
662,662
663,151
663,663
664,152
664,664
665,153
665,665
666,154
666,666
667,155
667,667
668,156
668,668
669,157
669,669
670,158
670,670
671,159
671,671
672,160
672,672
673,161
673,673
674,162
674,674
675,163
675,675
676,164
676,676
677,165
677,677
678,166
678,678
679,167
679,679
680,168
680,680
681,169
681,681
682,170
682,682
683,171
683,683
684,172
684,684
685,173
685,685
686,174
686,686
687,175
687,687
688,176
688,688
689,177
689,689
690,178
690,690
691,179
691,691
692,180
692,692
693,181
693,693
694,182
694,694
695,183
695,695
696,184
696,696
697,185
697,697
698,186
698,698
699,187
699,699
700,188
700,700
701,189
701,701
702,190
702,702
703,191
703,703
704,192
704,704
705,193
705,705
706,194
706,706
707,195
707,707
708,196
708,708
709,197
709,709
710,198
710,710
711,199
711,711
712,200
712,712
